FISCAL_YEAR,PRODUCT,CONVEYANCE,ORIGIN,COUNT_OF_LINES,SUM_OF_MSRP,duty_rate,product_complexity,hts_chapter,country_risk_score,country_avg_value,product_risk_score,conveyance_risk_score,value_per_line,log_msrp,log_lines,tariff_evasion_incentive,high_duty_product,complex_product,is_china,is_hong_kong,is_express,high_value_seizure
2023,Drug,Vessel,Dominican Republic,6,103094,0.0,High,30,103,334914.5048543689,192,5,17182.333333333332,11.543406172223815,1.9459101490553132,0.0,0,1,0,0,0,0
2023,Drug,Vessel,Republic of India,1,6620,0.0,High,30,86,2389196.6744186045,192,5,6620.0,8.798001694924846,0.6931471805599453,0.0,0,1,0,0,0,0
2023,Electronics,Auto,Canada,2,9473,2.1,High,85,107,56862.40186915888,254,143,4736.5,9.156306483483696,1.0986122886681098,99.4665,0,1,0,0,0,0
2023,Electronics,Auto,People's Republic of China,5,288045,2.1,High,85,472,14582791.302966101,254,143,57609.0,12.570875468586069,1.791759469228055,1209.789,0,1,1,0,0,1
2023,Electronics,Auto,United Mexican States,4,1776,2.1,High,85,170,261079.97647058824,254,143,444.0,7.482681828154651,1.6094379124341003,9.324000000000002,0,1,0,0,0,0
2023,Electronics,Auto,Unknown,6,21456,2.1,High,85,345,1934068.895652174,254,143,3576.0,9.973806211445082,1.9459101490553132,75.096,0,1,0,0,0,0
2023,Electronics,Commercial Air,Hong Kong Special Administrative Region,80,2057085,2.1,High,85,284,8244237.552816901,254,1047,25713.5625,14.536800976220066,4.394449154672439,539.9848125000001,0,1,0,1,0,1
2023,Electronics,Commercial Air,Islamic Republic of Pakistan,1,7470,2.1,High,85,54,227779.8148148148,254,1047,7470.0,8.918784137975802,0.6931471805599453,156.87,0,1,0,0,0,0
2023,Electronics,Commercial Air,Kingdom of Thailand,1,249,2.1,High,85,125,997476.0,254,1047,249.0,5.521460917862246,0.6931471805599453,5.229,0,1,0,0,0,0
2023,Electronics,Commercial Air,Kingdom of the Netherlands,1,5998,2.1,High,85,43,717691.0697674418,254,1047,5998.0,8.699348067653093,0.6931471805599453,125.95800000000001,0,1,0,0,0,0
2023,Electronics,Commercial Air,People's Republic of China,222,3889051,2.1,High,85,472,14582791.302966101,254,1047,17518.247747747748,15.173675984095034,5.407171771460119,367.8832027027027,0,1,1,0,0,1
2023,Electronics,Commercial Air,Republic of Colombia,4,8735,2.1,High,85,105,596276.8285714285,254,1047,2183.75,9.075207697984686,1.6094379124341003,45.85875,0,1,0,0,0,0
2023,Electronics,Commercial Air,Republic of El Salvador,2,9290,2.1,High,85,12,48899.666666666664,254,1047,4645.0,9.136801468641313,1.0986122886681098,97.545,0,1,0,0,0,0
2023,Electronics,Commercial Air,Republic of Korea,27,342556,2.1,High,85,102,2899829.205882353,254,1047,12687.25925925926,12.744193346195251,3.332204510175204,266.43244444444446,0,1,0,0,0,1
